site_id,x_coord,y_coord
2631,630804.0,4840731.0
2881,632804.0,4841731.0
2941,633304.0,4840731.0
2333,628304.0,4846731.0
3259,635804.0,4844731.0
819,616304.0,4833731.0
403,612804.0,4842731.0
2938,633304.0,4839231.0
2273,627804.0,4847731.0
2253,627804.0,4837731.0
936,617304.0,4830231.0
2767,631804.0,4846731.0
3500,637804.0,4841231.0
2123,626804.0,4834731.0
2991,633804.0,4834731.0
2215,627304.0,4849731.0
2243,627804.0,4832731.0
1506,621804.0,4836231.0
2866,632804.0,4834231.0
3431,637304.0,4837731.0
2275,627804.0,4848731.0
1387,620804.0,4838731.0
2196,627304.0,4840231.0
3125,634804.0,4839731.0
2077,626304.0,4842731.0
3307,636304.0,4837731.0
1510,621804.0,4838231.0
3682,639304.0,4839231.0
280,611804.0,4843231.0
2506,629804.0,4840231.0
1129,618804.0,4833731.0
3824,640304.0,4848231.0
3875,640804.0,4842731.0
1938,625304.0,4835231.0
2895,632804.0,4848731.0
3024,633804.0,4851231.0
3643,638804.0,4850731.0
2203,627304.0,4843731.0
2691,631304.0,4839731.0
2955,633304.0,4847731.0
2446,629304.0,4841231.0
878,616804.0,4832231.0
2007,625804.0,4838731.0
1055,618304.0,4827731.0
3367,636804.0,4836731.0
1888,624804.0,4841231.0
3458,637304.0,4851231.0
771,615804.0,4840731.0
2261,627804.0,4841731.0
1217,619304.0,4846731.0
967,617304.0,4845731.0
896,616804.0,4841231.0
4019,641804.0,4852731.0
1712,623304.0,4846231.0
3119,634804.0,4836731.0
2816,632304.0,4840231.0
3445,637304.0,4844731.0
1464,621304.0,4846231.0
2188,627304.0,4836231.0
842,616304.0,4845231.0
2248,627804.0,4835231.0
3440,637304.0,4842231.0
1025,617804.0,4843731.0
1081,618304.0,4840731.0
3150,634804.0,4852231.0
2381,628804.0,4839731.0
1587,622304.0,4845731.0
1943,625304.0,4837731.0
1180,619304.0,4828231.0
2017,625804.0,4843731.0
1966,625304.0,4849231.0
3634,638804.0,4846231.0
1141,618804.0,4839731.0
2193,627304.0,4838731.0
1207,619304.0,4841731.0
1305,620304.0,4828731.0
3949,641304.0,4848731.0
1189,619304.0,4832731.0
1878,624804.0,4836231.0
3313,636304.0,4840731.0
1275,619804.0,4844731.0
1404,620804.0,4847231.0
950,617304.0,4837231.0
836,616304.0,4842231.0
3271,635804.0,4850731.0
3436,637304.0,4840231.0
2313,628304.0,4836731.0
2330,628304.0,4845231.0
1873,624804.0,4833731.0
2321,628304.0,4840731.0
1468,621304.0,4848231.0
892,616804.0,4839231.0
2386,628804.0,4842231.0
2503,629804.0,4838731.0
1371,620804.0,4830731.0
1327,620304.0,4839731.0
4204,643304.0,4852231.0
4256,643804.0,4847231.0
4323,644304.0,4849731.0
2208,627304.0,4846231.0
2463,629304.0,4849731.0
1435,621304.0,4831731.0
767,615804.0,4838731.0
3400,636804.0,4853231.0
3512,637804.0,4847231.0
3629,638804.0,4843731.0
3770,639804.0,4852231.0
3061,634304.0,4838731.0
3650,638804.0,4854231.0
339,612304.0,4841731.0
2874,632804.0,4838231.0
4006,641804.0,4846231.0
3872,640804.0,4841231.0
1818,624304.0,4837231.0
755,615804.0,4832731.0
3749,639804.0,4841731.0
1948,625304.0,4840231.0
2563,630304.0,4837731.0
1065,618304.0,4832731.0
1394,620804.0,4842231.0
1622,622804.0,4832231.0
471,613304.0,4845731.0
1699,623304.0,4839731.0
580,614304.0,4838231.0
1717,623304.0,4848731.0
3523,637804.0,4852731.0
3556,638304.0,4838231.0
1566,622304.0,4835231.0
529,613804.0,4843731.0
1323,620304.0,4837731.0
3898,640804.0,4854231.0
716,615304.0,4844231.0
2063,626304.0,4835731.0
2572,630304.0,4842231.0
3381,636804.0,4843731.0
3710,639304.0,4853231.0
3317,636304.0,4842731.0
3583,638304.0,4851731.0
2128,626804.0,4837231.0
524,613804.0,4841231.0
813,616304.0,4830731.0
4144,642804.0,4853231.0
3336,636304.0,4852231.0
1758,623804.0,4838231.0
4140,642804.0,4851231.0
4062,642304.0,4843231.0
4071,642304.0,4847731.0
