lon,lat,status_clean,ward_num,location,fid
-79.18980895,43.7770348,active,24,Morningside Ave. North of Beath St.,139
-79.22453,43.756835,active,24,Markham Rd. South of Greencedar Circuit,140
-79.213717,43.778204,active,24,Orton Park Rd. Near 350 Orton Park Rd.,141
-79.164358,43.794467,active,25,Meadowvale Rd. South of Claresholme Dr.,142
-79.20750936,43.8046118,active,25,John Tabor Trail Near Duffort Court,143
-79.1813887,43.7624339,active,25,Coronation Dr. East of Budworth Dr.,144
-79.219597,43.814072,active,25,Hupfield Trail Near Glanvil Cres.,145
-79.209388,43.79778,active,25,Murison Blvd. Near United Square,146
-79.13355,43.785117,active,25,East Ave. Near Maberley Crescent,147
-79.585269,43.749615,planned,1,Kipling Ave. South of Annabelle Dr.,148
-79.553839,43.698311,planned,1,Kingsview Blvd. West of York Rd.,149
-79.54354407,43.6501149,planned,2,Burnhamthorpe Rd. West of Echo Valley Rd.,150
-79.582207,43.657186,planned,2,Renforth Dr. North of Tabard Gate,151
-79.494049,43.612777,planned,3,Mimico Ave. West of Station Rd.,152
-79.536254,43.59398,planned,3,Lake Shore Blvd. W. West of Thirty Fifth St.,153
-79.437737,43.643574,planned,4,Lansdowne Ave. North of Seaforth Ave.,154
-79.473663,43.662008,planned,4,Annette St. Near Laws St.,155
-79.516997,43.711572,planned,5,Gary Dr. Near Deerhurst Ave.,156
-79.489281,43.670263,planned,5,Pritchard Ave. Near Batavia Ave.,157
-79.492212,43.750957,planned,6,Stilecroft Dr. West of Sharpecroft Blvd.,158
-79.455108,43.75192,planned,6,Sheppard Ave. W. East of Wilson Heights Blvd.,159
-79.557962,43.74591,planned,7,Ardwick Blvd. North of Peterson Dr.,160
-79.53601,43.72873,planned,7,Weston Rd. South of Burgundy Court,161
-79.434611,43.712913,planned,8,Glengrove Ave. W. West of Dalemount Ave.,162
-79.451346,43.699342,planned,8,Dufferin St. North of Hopewell Ave.,163
-79.434707,43.652201,planned,9,College St. Near Sheridan Ave.,164
-79.424544,43.655943,planned,9,Concord Ave. North of College St.,165
-79.397647,43.636081,planned,10,Queens Quay W. East of Bathurst St.,166
-79.418169,43.646024,planned,10,Givins St. South of Argyle St.,167
-79.367118,43.674571,planned,11,Bloor St. E. East of Castle Frank Rd.,168
-79.415007,43.661569,planned,11,Manning Ave. South of Lennox St.,169
-79.417565,43.680963,planned,12,Bathurst St. Near Helena Ave.,170
-79.386676,43.699709,planned,12,Mount Pleasant Rd. Near Balliol St.,171
-79.374069,43.665775,planned,13,Sherbourne St. South of Wellesley St. E.,172
-79.366798,43.661111,planned,13,Parliament St. North of Oak St.,173
-79.348561,43.666243,planned,14,Gerrard St. E. Near De Grassi St.,174
-79.340358,43.690476,planned,14,Lesmount Ave. South of Cosburn Ave.,175
-79.402326,43.726227,planned,15,Yonge St. Near Wanless Ave.,176
-79.366899,43.729434,planned,15,Park Lane Circle Near 60 Park Lane Circle,177
-79.345589,43.732143,active,16,The Donway W. Near Southill Dr.,178
-79.344168,43.739149,planned,16,Don Mills Rd. North of Lawrence Ave. E.,179
-79.395024,43.797903,planned,17,Bayview Ave. South of Newton Dr.,180
-79.334661,43.787085,planned,17,Brian Dr. South of Van Horne Ave.,181
-79.424071,43.758642,planned,18,Sheppard Ave. W. Near Senlac Rd.,182
-79.41155,43.774292,planned,18,Church Ave. East of Doris Ave.,183
-79.28355,43.679805,active,19,Victoria Park Ave. South of Kingston Rd.,184
-79.293109,43.679936,planned,19,Kingston Rd. Near Malvern Ave.,185
-79.225003,43.733153,planned,20,Bellamy Rd. S. North of Kingston Rd.,186
-79.267479,43.730711,planned,20,Kennedy Rd. North of Kenmark Blvd.,187
-79.242368,43.716497,planned,20,Kingston Rd. Near 2685 Kingston Rd.,188
-79.255417,43.727967,planned,21,Midland Ave. North of Wolfe Ave.,189
-79.288633,43.757115,planned,21,Birchmount Rd. South of Ellendale Dr.,190
-79.319553,43.803327,planned,22,Warden Ave. South of Glen Springs Dr.,191
-79.301253,43.795604,planned,22,Glendower Circuit Near Nearwood Gate,192
-79.266738,43.784612,planned,23,Brimley Rd. North of Pitfield Rd.,193
-79.220322,43.801201,planned,23,Berner Trail Near Hatchet Place,194
-79.1929833,43.7668656,planned,24,Lawrence Ave. E. East of Andover Cres.,195
-79.196781,43.748028,planned,24,Guildwood Pkwy. West of Chancery Lane,196
-79.173213,43.801896,planned,25,Dean Park Rd. East of Sudbury Hill Dr.,197
-79.150238,43.799258,planned,25,Durnford Rd. North of Rylander Blvd.,198
