cell_id,x_coord,y_coord,collision_count,camera_count,mean_dist_to_camera,mean_precip,mean_snow,downtown,lambda
1200,619304.0,4838231.0,41,0,721.9991860542883,4.15609756097561,0.3756097560975609,0,29758.961915223324
1201,619304.0,4838731.0,40,0,1171.5001568878656,1.4100000000000001,0.21499999999999994,0,40.77979428909746
1202,619304.0,4839231.0,81,0,1355.531524704434,2.692592592592593,0.7185185185185186,0,1117.4478272088838
1203,619304.0,4839731.0,501,0,1159.7800381068375,2.3966067864271463,0.29141716566866266,0,509.9850853567561
1204,619304.0,4840231.0,42,0,822.4017636787814,3.266666666666667,0.15476190476190477,0,3629.404647078685
1205,619304.0,4840731.0,41,1,212.61260699561717,2.84390243902439,0.5073170731707317,0,1336.8235148322185
1206,619304.0,4841231.0,79,0,523.9666626183275,1.5316455696202531,0.1341772151898734,0,28.344246431671813
1207,619304.0,4841731.0,249,0,854.9736858747629,2.1634538152610445,0.30481927710843376,0,196.37230615049836
1208,619304.0,4842231.0,61,0,1279.415344387199,3.3704918032786884,0.19344262295081968,0,7767.4480256650395
1209,619304.0,4842731.0,7,0,1229.0672503589128,0.15714285714285717,0.0,0,1.8307075357996383
1210,619304.0,4843231.0,3,0,1256.1116481379138,0.06666666666666667,0.0,0,1.4896606996120458
1211,619304.0,4843731.0,79,0,839.8066372233579,3.0683544303797468,1.2253164556962024,0,1314.8721296339095
1212,619304.0,4844231.0,80,0,518.0615240234526,2.02625,0.5225,0,84.93005361831061
1213,619304.0,4844731.0,96,0,427.16449845829084,2.097916666666667,0.2625,0,104.9371117774495
1214,619304.0,4845231.0,445,0,420.5430389456596,1.9564044943820225,0.42247191011235957,0,66.6366810654773
1215,619304.0,4845731.0,1932,0,1097.2617454792105,2.4502070393374735,0.32562111801242233,0,538.2204105668507
1216,619304.0,4846231.0,655,0,1180.8296004855226,2.095419847328244,0.2833587786259542,0,238.71289904537164
1217,619304.0,4846731.0,299,0,1450.0030216213006,2.5976588628762545,0.6374581939799331,0,1007.4348496465551
1218,619304.0,4847231.0,433,0,1763.3946748138524,2.1923787528868357,0.24896073903002308,0,597.749719430683
1219,619304.0,4847731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1220,619304.0,4848231.0,106,0,2279.293830762806,3.841509433962264,0.5160377358490567,0,69163.8145729505
1221,619304.0,4848731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
